SUBURB,Oct - Dec 14,Jan - Mar 15,Apr - Jun 15,Jul - Sep 15,Oct - Dec 15,No of sales Oct - Dec 15,No of Sales 2015,Oct - Dec 14 - Oct - Dec 15,Jul - Sep 15 - Oct - Dec 15
EPSOM,365000,327500,350000,347500,335000,22,79,-8.2,-3.6
ESSENDON,929500,1200000,1237500,1082500,1150000,53,223,23.7,6.2
ESSENDON NORTH,863500,800000,826500,687500,840000,7,26,-2.7,22.2
ESSENDON WEST,920000,851000,908000,991500,810000,7,18,-12,-18.3
EUMEMMERRING,453000,401000,375000,423500,417500,10,29,-7.8,-1.4
EUREKA,289000,245000,270000,277000,240000,7,20,-17,-13.4
EUROA,240000,215000,212500,244000,269000,22,61,12.1,10.2
EYNESBURY,390000,365000,402500,415000,407500,15,56,4.5,-1.8
FAIRFIELD,862500,960000,1133500,1100000,1235000,19,59,43.2,12.3
FAIRHAVEN,750000,530500,878500,855000,982500,4,23,31,14.9
FAWKNER,455000,485000,500000,530000,572000,45,184,25.7,7.9
FERNTREE GULLY,525200,522000,591000,618500,600000,92,382,14.2,-3
FERNY CREEK,479000,530000,682000,621000,910000,5,22,90,46.5
FINGAL,760000,860000,855000,805000,992500,2,19,30.6,23.3
FITZROY,1040000,1285000,1295000,1363000,1100000,21,72,5.8,-19.3
FITZROY NORTH,965000,1100000,1272000,1370000,1050000,29,124,8.8,-23.4
FIVEWAYS,305000,330000,442000,375000,353500,2,15,15.9,-5.7
FLEMINGTON,760000,810000,875800,823000,811800,16,59,6.8,-1.4
FLINDERS,1600000,800000,730000,1300000,985000,9,37,-38.4,-24.2
FLORA HILL,315000,325000,317500,330500,318000,15,74,1,-3.8
FOOTSCRAY,650000,697500,650000,675000,729000,23,127,12.2,8
FOREST HILL,775000,801000,920000,916000,860000,31,159,11,-6.1
FORREST,310000,253000,240000,235000,340000,1,7,9.7,44.7
FOSTER,266300,360000,272500,350000,325000,5,21,22.1,-7.1
FRANKSTON,372000,400000,430000,439000,445700,173,748,19.8,1.5
FRANKSTON NORTH,276000,285500,288000,298500,307500,38,146,11.4,3
FRANKSTON SOUTH,565000,591300,630000,600000,630000,111,397,11.5,5
GARDEN CITY,1100000,1130000,1672500,1320000,1300000,5,22,18.2,-1.5
GARFIELD,345000,356800,410000,374800,350000,5,20,1.4,-6.6
GEELONG,531000,599000,550000,599000,633500,24,96,19.3,5.8
GEELONG WEST,462500,472500,472000,532500,505500,32,142,9.3,-5.1
GEMBROOK,400500,450500,387000,483300,465000,4,19,16.1,-3.8
GISBORNE,517500,475000,549000,555000,575000,39,158,11.1,3.6
GLADSTONE PARK,427500,428500,461000,460000,480000,39,142,12.3,4.3
GLEN HUNTLY,1085000,1085000,1605000,1761000,1405000,8,22,29.5,-20.2
GLEN IRIS,1615000,1635000,1875000,1760000,1868500,76,297,15.7,6.2
GLEN WAVERLEY,1003000,1130000,1201000,1282900,1150000,155,669,14.7,-10.4
GLENGARRY,335000,360000,265000,239000,375000,1,8,11.9,56.9
GLENROY,517000,522500,525000,585000,592600,59,278,14.6,1.3
GOLDEN BEACH,158300,179500,195000,168000,180000,3,19,13.7,7.1
GOLDEN POINT (Ballarat),275100,259000,245000,256000,265000,17,75,-3.7,3.5
GOLDEN SQUARE,328500,305600,312500,272300,317500,36,163,-3.3,16.6
GOUGHS BAY,265000,282500,371000,245000,255000,5,18,-3.8,4.1
GOWANBRAE,550000,542500,495000,581000,628000,14,39,14.2,8.1
GRANTVILLE,279000,246300,227500,258500,228800,2,24,-18,-11.5
GREENSBOROUGH,595000,602500,642000,635000,650000,79,306,9.2,2.4
GREENVALE,557500,520000,507500,535000,575500,51,221,3.2,7.6
GROVEDALE,356000,375000,365000,370000,370000,60,245,3.9,0
HADFIELD,510000,550000,535000,570000,552000,25,86,8.2,-3.2
HALLAM,400000,402000,430000,422500,445000,38,173,11.3,5.3
HALLS GAP,247000,277500,262000,245000,209000,4,15,-15.4,-14.7
HAMILTON,175500,175000,192500,212500,215000,26,147,22.5,1.2
HAMLYN HEIGHTS,385000,381500,357000,389000,395000,36,120,2.6,1.5
HAMPTON,1400000,1303500,1560000,1685000,1900500,36,173,35.8,12.8
HAMPTON EAST,847000,1025000,930000,1060000,1152500,18,72,36.1,8.7
HAMPTON PARK,342000,341500,365500,374500,383500,102,432,12.1,2.4
HARCOURT,326500,356500,356500,295000,230000,1,5,-29.6,-22
HASTINGS,368000,312000,355800,381000,375000,47,126,1.9,-1.6
HASTINGS WEST,235500,307500,253500,352500,280000,9,28,18.9,-20.6
HAWTHORN,1641000,2370000,1830000,1857500,2001300,51,189,22,7.7
HAWTHORN EAST,1820000,1738000,2005000,1877500,1750000,56,178,-3.8,-6.8
HEALESVILLE,435800,435000,438000,462000,450000,25,109,3.3,-2.6
HEATHCOTE,252500,240000,240000,285000,270000,10,43,6.9,-5.3
HEATHERTON,742500,682500,762500,837500,785000,9,29,5.7,-6.3
HEATHMONT,687000,750000,750000,778000,775000,37,136,12.8,-0.4
HEIDELBERG,863000,895000,965000,1120000,1015000,19,67,17.6,-9.4
HEIDELBERG HEIGHTS,625000,604000,660000,810000,670000,23,84,7.2,-17.3
HEIDELBERG WEST,456500,480000,560500,600000,625000,26,87,36.9,4.2
HEPBURN SPRINGS,425000,410000,310000,412500,405000,4,13,-4.7,-1.8
HERNE HILL,358800,390000,345000,367500,385000,13,48,7.3,4.8
HEYFIELD,230000,185000,185500,177500,172000,9,38,-25.2,-3.1
HEYWOOD,95000,235000,190000,220000,124000,5,29,30.5,-43.6
HIGHETT,922000,952500,960000,1050000,996300,34,130,8.1,-5.1
HIGHTON,522500,495000,489900,525000,497500,100,366,-4.8,-5.2
HILLSIDE (Melton),437500,463800,465000,476000,480500,60,237,9.8,0.9
HOPPERS CROSSING,342500,345000,350000,374000,375000,145,626,9.5,0.3
HORSHAM,220000,245800,247300,225000,239500,78,307,8.9,6.4
HUGHESDALE,920000,946000,1070000,1195000,1250500,14,53,35.9,4.6
HUNTINGDALE,765000,740000,850000,891300,928000,2,20,21.3,4.1
HUNTLY,295000,304000,355000,382500,335000,1,12,13.6,-12.4
HURSTBRIDGE,450000,537500,545300,545000,555000,14,38,23.3,1.8
INDENTED HEAD,403800,390000,300000,420000,380000,8,43,-5.9,-9.5
INGLEWOOD,146300,165000,158500,158500,200000,5,9,36.8,NA
INVERLEIGH,321400,379000,355000,425000,229000,1,14,-28.7,-46.1
INVERLOCH,434500,392000,440000,422500,435000,46,200,0.1,3
INVERMAY PARK,387000,405000,373800,415000,415000,9,25,7.2,0
IRONBARK,295000,375000,360000,250000,309800,4,26,5,23.9
IRYMPLE,210000,232500,235000,282500,318500,19,63,51.7,12.7
IVANHOE,1266500,1303000,1190000,1435000,1397000,29,118,10.3,-2.6
IVANHOE EAST,1440000,1405000,1558800,1800000,1410000,7,43,-2.1,-21.7
JACANA,333000,335000,370000,374500,402500,16,43,20.9,7.5
JACKASS FLAT,366000,351800,333600,349500,293500,4,14,-19.8,-16
JAMIESON,224000,224000,224000,160000,258500,2,5,15.4,61.6
JAN JUC,603000,690000,600000,580000,636000,23,95,5.5,9.7
JEPARIT,60000,99000,115000,80000,61000,5,21,1.7,-23.8
JOLIMONT,2850000,4615000,2500000,2500000,1862500,2,9,-34.6,NA
JUNCTION VILLAGE,320000,381300,360000,416900,416900,0,10,NA,NA
JUNORTOUN,488500,400000,302500,462500,462500,0,17,NA,NA
KALIMNA,255000,250000,400000,237000,288800,8,20,13.2,21.8
KALLISTA,419500,520000,560000,584000,506000,9,31,20.6,-13.4
KALORAMA,434000,497000,465000,456300,521200,5,28,20.1,14.2
KANGAROO FLAT,296000,300500,305500,277500,315000,46,156,6.4,13.5
KANGAROO GROUND SOUTH,602000,660000,640000,766000,650000,10,31,8,-15.1
KANIVA,110000,107500,81500,155000,100000,10,19,-9.1,-35.5
KEALBA,410000,424000,389000,410000,393500,22,67,-4,-4
KEILOR,650000,657500,741000,686500,725000,24,76,11.5,5.6
KEILOR DOWNS,450000,460000,470000,497500,525000,21,87,16.7,5.5
KEILOR EAST,610000,619500,625000,705000,695300,44,202,14,-1.4
KEILOR LODGE,520000,520000,482500,566000,650000,3,16,25,14.8
KEILOR PARK,510000,591300,570000,574000,548000,10,32,7.5,-4.5
KENNINGTON,325000,305000,342500,390000,317800,26,93,-2.2,-18.5
KENSINGTON,780000,743500,860000,795000,903000,38,120,15.8,13.6
KERANG,130000,152500,150000,165000,135000,15,70,3.8,-18.2
KEW,2150000,1939000,2010000,2346500,1980000,75,295,-7.9,-15.6
